link,title,description,cleaned_description
https://www.dawn.com/news/1832867/india-poll-watchdogs-inaction-lets-pm-modi-commit-brazen-violations-opposition-says,"India poll watchdog’s inaction lets PM Modi commit ‘brazen’ violations, opposition says - World - DAWN.COM","Released opposition leader Arvind Kejriwal urges Indians to battle ""dictatorship"".",released opposition leader arvind kejriwal urges indians to battle dictatorship
https://www.dawn.com/news/1832858/president-zardari-granted-immunity-from-criminal-proceedings-by-islamabad-accountability-court,President Zardari granted immunity from criminal proceedings by Islamabad accountability court - Pakistan - DAWN.COM,He had petitioned the court last month under Section 248(2) of the Constitution.,he had petitioned the court last month under section  of the constitution
https://www.dawn.com/news/1832796/pia-staff-forgets-to-put-boys-body-on-plane,PIA staff forgets to put boy’s body on plane - Pakistan - DAWN.COM,"Shocked parents, relatives protest against airline management’s negligence at Skardu airport.",shocked parents relatives protest against airline managements negligence at skardu airport
https://www.dawn.com/news/1832869/first-extreme-solar-storm-in-20-years-strikes-earth-brings-spectacular-auroras,"First ‘extreme’ solar storm in 20 years strikes earth, brings spectacular auroras - World - DAWN.COM",Social media lit up with people posting pictures of auroras from northern Europe and Australasia.,social media lit up with people posting pictures of auroras from northern europe and australasia
https://www.dawn.com/news/1832750/ruling-coalition-loses-27-reserved-seats-in-punjab,Ruling coalition loses 27 reserved seats in Punjab - Pakistan - DAWN.COM,"Speaker suspends PML-N’s 23, PPP’s two, and one member each of PML-Q, IPP.",speaker suspends pmlns  ppps two and one member each of pmlq ipp
https://www.youtube.com/c/DawnNewsEnglish,DawnNews English - YouTube,"Infinite News. Instant Insight. Dawn News English - your window into the latest developments, and analysis from across the world. Official Facebook: https://...",infinite news instant insight dawn news english  your window into the latest developments and analysis from across the world official facebook https
https://www.youtube.com/watch?v=UeSr8kxz7kE,Is PTI Ready to Apologise for May 9th?  | Nadia Naqi | Dawn News English - YouTube,Dawn News’s Nadia Naqi in conversation with PTO leader Shoaib Shaheen. --------------------------------------------------------------------------------------...,dawn newss nadia naqi in conversation with pto leader shoaib shaheen 
https://www.youtube.com/watch?v=UeSr8kxz7kE,Is PTI Ready to Apologise for May 9th?  | Nadia Naqi | Dawn News English - YouTube,Dawn News‚Äôs Nadia Naqi in conversation with PTO leader Shoaib Shaheen. --------------------------------------------------------------------------------------...,dawn newss nadia naqi in conversation with pto leader shoaib shaheen 
https://www.youtube.com/watch?v=DLnFKstpqSM,What On Earth Does The Government Want From Us? | Zara Hat Kay | Dawn News - YouTube,üì∫ Watch Dawn News Live Stream:https://www.youtube.com/watch?v=-JrEV2rian0What On Earth Does The Government Want From Us? | Zara Hat Kay | Dawn NewsDawn News..., watch dawn news live streamhttpswwwyoutubecomwatchvjrevrianwhat on earth does the government want from us  zara hat kay  dawn newsdawn news
https://www.youtube.com/watch?v=ax6GtKBV4o4,How Israel's Killer Robots In Gaza Are Redefining Automated Warfare? | Dawn News English - YouTube,"Join Shahzeb Jillani on the 'Spotlight Show' as he sits down with human rights lawyer Ousman Noor from 'The Civilian Agenda (CSO), who was sacked for speakin...",join shahzeb jillani on the spotlight show as he sits down with human rights lawyer ousman noor from the civilian agenda cso who was sacked for speakin
https://www.youtube.com/watch?v=6Y6pv4dgwok,Top News Stories: Pakistan's Lunar Mission | Israel-Gaza | Russia-Ukraine | Wars | Dawn News English - YouTube,ùêÉùêöùê∞ùêß ùêçùêûùê∞ùê¨ ùêÑùêßùê†ùê•ùê¢ùê¨ùê°'ùê¨ ùêìùê®ùê© ùêçùêûùê∞ùê¨ ùêíùê≠ùê®ùê´ùê¢ùêûùê¨ - your ultimate source for staying informed and up to date with the most significant news ...,       your ultimate source for staying informed and up to date with the most significant news 
https://www.youtube.com/watch?v=368pk1LtbvY,Why Are Israel And Its Western Allies On The Edge Over ICC Arrest Warrants? | Dawn News English - YouTube,"In the Palestinian territory it controls, Israel has often been accused of acting without consequence, backed by support from the United States and the broad...",in the palestinian territory it controls israel has often been accused of acting without consequence backed by support from the united states and the broad
https://www.youtube.com/watch?v=ZKNxVl6yFyc,May 9 | Military Courts Pakistan: What About The Prisoners? | Rida Hosein | Dawn News English - YouTube,"A YEAR since the events of May 9, 2023, what has changed? Rida Hosein takes a deep dive into laws enforced. -------------------------------------------------...",a year since the events of may   what has changed rida hosein takes a deep dive into laws enforced 
https://www.youtube.com/watch?v=1j9DKEupIUY,Top News Stories: Modi Aggression In Kashmir | Imran Khan Decision | Israel-Gaza | Dawn News English - YouTube,ùêÉùêöùê∞ùêß ùêçùêûùê∞ùê¨ ùêÑùêßùê†ùê•ùê¢ùê¨ùê°'ùê¨ ùêìùê®ùê© ùêçùêûùê∞ùê¨ ùêíùê≠ùê®ùê´ùê¢ùêûùê¨ - your ultimate source for staying informed and up to date with the most significant news ...,       your ultimate source for staying informed and up to date with the most significant news 
https://www.youtube.com/watch?v=2FbxyFxRHdM,Americans Are Upset Over US Supporting Violence Against Palestinians | Dawn News English - YouTube,Professor Elizabeth Hurd of Northwestern University sheds light on the Gaza encampment on Northwestern's campus. --------------------------------------------...,professor elizabeth hurd of northwestern university sheds light on the gaza encampment on northwesterns campus 
https://www.dawn.com/must-read,Must Read - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/news/1832835,Taxing pensions - Newspaper - DAWN.COM,"Tax reforms have failed to deliver because of distortions created by the FBR bureaucracy through SROs, apparently for personal gains.",tax reforms have failed to deliver because of distortions created by the fbr bureaucracy through sros apparently for personal gains
https://www.dawn.com/news/1832832,The lethal troika - Newspaper - DAWN.COM,The situation necessitates a fundamental shift in the terrorist threat assessment in Pakistan.,the situation necessitates a fundamental shift in the terrorist threat assessment in pakistan
https://images.dawn.com/news/1192428/we-asked-moms-what-they-really-want-for-mothers-day-and-no-it-isnt-a-kurta-or-a-candle,"We asked moms what they really want for Mother’s Day — and no, it isn’t a kurta or a candle - Culture - Images","A pinch of love, a dash of appreciation and a cup FULL of peace is the recipe for the perfect Mother's Day present!",a pinch of love a dash of appreciation and a cup full of peace is the recipe for the perfect mothers day present
https://www.dawn.com/news/1832831/an-inclusive-judiciary,An inclusive judiciary - Pakistan - DAWN.COM,"While the detailed deliberations of the JCP need not be made public, the reasons for selecting certain candidates for nomination must be disclosed.",while the detailed deliberations of the jcp need not be made public the reasons for selecting certain candidates for nomination must be disclosed
https://www.dawn.com/news/1832617,Enrolment drive - Newspaper - DAWN.COM,"The authorities should implement targeted interventions to bring out-of-school children, especially girls, into the educational system.",the authorities should implement targeted interventions to bring outofschool children especially girls into the educational system
https://images.dawn.com/news/1192429/men-must-take-the-lead-in-standing-up-against-sexual-harassment-says-hamza-ali-abbasi,"Men must take the lead in standing up against sexual harassment, says Hamza Ali Abbasi - Celebrity - Images",Actor holds men accountable for perpetuating a culture of silence and complicity that has helped normalise harassment.,actor holds men accountable for perpetuating a culture of silence and complicity that has helped normalise harassment
https://aurora.dawn.com/news/1145109/the-agrarian-thespian,The Agrarian Thespian - People - Aurora,Shahrezad Samiuddin profiles farmer and actor Samiya Mumtaz.,shahrezad samiuddin profiles farmer and actor samiya mumtaz
https://www.dawn.com/news/1832462/mercurial-pakistans-last-pit-stop-before-t20-world-cup-2024,Mercurial Pakistan’s last pit stop before T20 World Cup 2024 - Sport - DAWN.COM,Pakistan will play three matches against Ireland and four against England before they head to the Caribbean for the T20 World Cup.,pakistan will play three matches against ireland and four against england before they head to the caribbean for the t world cup
https://www.dawn.com/news/1832620,Waiting to practise - Newspaper - DAWN.COM,"The process of enrolment at the apex court is tedious, and is made more cumbersome by procedural bottlenecks along the way.",the process of enrolment at the apex court is tedious and is made more cumbersome by procedural bottlenecks along the way
https://www.dawn.com/news/1832621,Education emergency - Newspaper - DAWN.COM,The current situation is the result of the choices that we have made and are still making.,the current situation is the result of the choices that we have made and are still making
https://www.dawn.com/news/1832279/special-report-may-9-mayhem-and-military-trials-a-year-on,"Special report: May 9, mayhem and military trials — a year on - Pakistan - DAWN.COM",Unravelling the knot of justice and power as Pakistan grapples with the aftermath of May 9 and the ongoing military trials of civilians.,unravelling the knot of justice and power as pakistan grapples with the aftermath of may  and the ongoing military trials of civilians
https://www.dawn.com/news/1831567,PAKISTAN’S MOMENT OF YOUTH - Newspaper - DAWN.COM,"With the majority of Pakistan’s population below the age of 30, the young will invariably influence the country’s future trajectory.",with the majority of pakistans population below the age of  the young will invariably influence the countrys future trajectory
https://www.dawn.com/authors/9835/nadir-guramani,News stories for Nadir Guramani - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/authors/675/khurram-husain,News stories for Khurram Husain - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/authors/1521/zahoor,News stories for Zahoor - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/authors/2617/jamil-nagri,News stories for Jamil Nagri - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/authors/10284/abdullah-zehri,News stories for Abdullah Zehri - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/news/1832658/pakistans-icube-qamar-beams-back-first-images-from-moons-orbit,Pakistan’s iCube-Qamar beams back first images from moon’s orbit - Pakistan - DAWN.COM,The country's inaugural lunar satellite is part of China’s Chang’e-6 mission.,the countrys inaugural lunar satellite is part of chinas change mission
https://www.dawn.com/news/1832368/the-net-metering-dead-end,The net metering dead end - Newspaper - DAWN.COM,"The big problem in Pakistan’s power bureaucracy now is that the state insists on setting the price of electricity manually, using outmoded formulae.",the big problem in pakistans power bureaucracy now is that the state insists on setting the price of electricity manually using outmoded formulae
https://www.dawn.com/news/1832609/imran-tasks-alvi-with-important-job,Imran tasks Alvi with ‘important’ job - Newspaper - DAWN.COM,"Sher Afzal Marwat removed from core body for ""derailing"" Imran’s ties with Saudi ruler.",sher afzal marwat removed from core body for derailing imrans ties with saudi ruler
https://www.dawn.com/news/1832432/no-compromise-or-deal-with-planners-and-architects-says-army-chief-on-may-9-anniversary,"No compromise or deal with planners and architects, says army chief on May 9 anniversary - Pakistan - DAWN.COM","PTI slammed as govt, allies issue condemnations throughout the day; PM Shehbaz says riots aimed to ""end democracy"".",pti slammed as govt allies issue condemnations throughout the day pm shehbaz says riots aimed to end democracy
https://www.dawn.com/news/1832832/the-lethal-troika,The lethal troika - Newspaper - DAWN.COM,The situation necessitates a fundamental shift in the terrorist threat assessment in Pakistan.,the situation necessitates a fundamental shift in the terrorist threat assessment in pakistan
https://www.dawn.com/authors/3134/tariq-parvez,News stories for Tariq Parvez - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
